,metric,value
0,A5,0
1,A9,0
2,ComError,1
3,P1,2
4,P10,430
5,P15,0
6,P16,200
7,P17,400
8,P18,450
9,P2,0
10,P5,300
11,P6,180
12,P7,260
13,P8,150
14,P9,300
15,S1,0
16,S10,0
17,S100,124
18,S101,0
19,S102,125
20,S106,0
21,S107,319
22,S108,0
23,S109,200
24,S11,0
25,S110,0
26,S112,0
27,S113,0
28,S114,1
29,S115,0
30,S117,0
31,S118,0
32,S122,0
33,S123,4
34,S124,-137
35,S125,0
36,S126,11
37,S127,0
38,S128,100
39,S129,100
40,S130,0
41,S137,0
42,S138,13
43,S140,13
44,S143,0
45,S147,0
46,S15,0
47,S151,0
48,S154,0
49,S157,123
50,S158,0
51,S159,124
52,S16,0
53,S163,0
54,S164,250
55,S165,0
56,S166,185
57,S167,0
58,S169,0
59,S17,0
60,S170,0
61,S171,0
62,S172,0
63,S173,1
64,S174,0
65,S175,0
66,S176,0
67,S178,0
68,S179,4
69,S180,65465
70,S181,0
71,S183,0
72,S19,0
73,S2,2
74,S201,7183
75,S202,7183
76,S203,0
77,S204,7183
78,S205,7183
79,S206,0
80,S25,0
81,S3,200
82,S33,1
83,S34,0
84,S35,0
85,S37,501
86,S39,132
87,S40,133
88,S41,184
89,S42,0
90,S43,0
91,S45,0
92,S46,435
93,S47,434
94,S49,0
95,S5,0
96,S50,0
97,S53,0
98,S54,0
99,S55,1
100,S56,0
101,S57,0
102,S6,430
103,S63,0
104,S64,0
105,S69,0
106,S7,0
107,S70,952
108,S71,100
109,S72,100
110,S73,0
111,S8,0
112,S80,0
113,S81,36
114,S83,36
115,S86,0
116,S9,0
117,S90,0
118,S94,0
119,S97,0
120,SA1,0
121,SA10,0
122,SA11,0
123,SA12,0
124,SA2,0
125,SA3,0
126,SA4,0
127,SA5,0
128,SA6,0
129,SA7,0
130,SA8,0
131,SA9,0
132,SW,1
