hwid,temp_bin,mean_load,n
SW-065,-6.0,0.0,117
SW-065,-4.0,0.0,1237
SW-065,-2.0,0.9362363919129082,3215
SW-065,0.0,0.9281462585034014,11760
SW-065,2.0,1.9831288343558282,16300
SW-065,4.0,2.7605112899039708,15412
SW-065,6.0,6.0769744531641345,11978
SW-065,8.0,11.045514578888552,16405
SW-065,10.0,28.76948038085479,15614
SW-065,12.0,30.9146551131284,14541
SW-065,14.0,30.125458996328028,11438
SW-065,16.0,29.700475778546714,9248
SW-065,18.0,28.38370720188902,4235
SW-065,20.0,29.98901501281582,2731
SW-065,22.0,28.170347003154575,951
SW-088,-2.0,47.58027306967984,708
SW-088,0.0,51.98507097405776,2724
SW-088,2.0,58.65333418935115,7788
SW-088,4.0,40.2778461678749,14622
SW-088,6.0,26.747848830274844,19563
SW-088,8.0,18.952820028799266,27547
SW-088,10.0,17.983272574523305,22219
SW-088,12.0,9.6709705664444,24745
SW-088,14.0,6.546873380421425,22511
SW-088,16.0,4.049025240338581,17406
SW-088,18.0,2.024621733149931,14540
SW-088,20.0,0.7747742726563371,8971
SW-088,22.0,0.28556636984883,4829
SW-088,24.0,1.1841103710751666,2102
SW-088,26.0,7.481159420289855,345
SW-088,28.0,4.621301775147929,169
SW-106,2.0,33.64035087719298,57
SW-106,4.0,35.59583333333333,1140
SW-106,6.0,41.47076023391813,3249
SW-106,8.0,36.14410217881292,6655
SW-106,10.0,38.32054877378203,9093
SW-106,12.0,34.75827449523102,13455
SW-106,14.0,33.14034773256856,11158
SW-106,16.0,23.838803680981595,13040
SW-106,18.0,17.01547647575685,12519
SW-106,20.0,13.990892620272412,10303
SW-106,22.0,14.681986623282718,11064
SW-106,24.0,20.63020332050048,8312
SW-106,26.0,31.07232827754533,3824
SW-106,28.0,42.62148981779206,1555
SW-106,30.0,42.213615023474176,213
SW-115,-12.0,42.555,250
SW-115,-10.0,47.319246435845216,1473
SW-115,-8.0,49.08828828828829,2220
SW-115,-6.0,39.415218650448885,3453
SW-115,-4.0,34.368900343642615,2910
SW-115,-2.0,31.807518918048622,6211
SW-115,0.0,31.472746117015063,17126
SW-115,2.0,23.39213762842014,31602
SW-115,4.0,26.64486953972442,34110
SW-115,6.0,19.26307474395293,32123
SW-115,8.0,20.706610637937843,35458
SW-115,10.0,17.516091867185434,26473
SW-115,12.0,10.000576010322105,21701
SW-115,14.0,3.857176563114432,12715
SW-115,16.0,2.600650091240876,4384
SW-115,18.0,1.3323445171849426,2444
SW-115,20.0,3.853932584269663,1246
SW-115,22.0,6.121160409556314,293
SW-115,24.0,10.431451612903226,248
SW-115,26.0,4.554945054945055,91
